id	doi	title	author	journaltitle	volume	issue	pubdate	pagerange	publisher	type	reviewed-work	abstract
10.2307/41410940	10.2307/41410940	The Archaeology of Tula, Hidalgo, Mexico	Dan M. Healan	Journal of Archaeological Research	20	1	2012-03-01T00:00:00Z	pp. 53-115	Springer	fla		The site of Tula, Hidalgo, Mexico, is well known for its distinctive architecture and sculpture that came to light in excavations initiated some 70 years ago. Less well known is the extensive corpus of archaeological research conducted over the past several decades, revealing a city that at its height covered an area of c.16 km 2 and incorporated a remarkably diverse landscape of hills, plains, alluvial valleys, and marsh. Its dense, urban character is evident in excavations at over 22 localities that uncovered complex arrangements of residential compounds whose nondurable architecture left relatively few surface traces. Evidence of craft production includes lithic and ceramic production loci in specific sectors of the ancient city. Tula possessed a large and densely settled hinterland that apparently encompassed the surrounding region, including most of the Basin of Mexico, and its area of direct influence appears to have extended to the north as far as San Luís Potosí.Tula is believed to have originated as the center of a regional state that consolidated various Coyotlatelco polities and probably remnants of a previous Teotihuacancontrolled settlement system. Its pre-Aztec history exhibits notable continuity in settlement, ceramics, and monumental art and architecture. The nature of the subsequent Aztec occupation supports ethnohistorical and other archaeological evidence that Tula's ruins were what the Aztecs called Tollan.	
10.2307/41053186	10.2307/41053186	The Archaeology of War: A North American Perspective	Patricia M. Lambert	Journal of Archaeological Research	10	3	2002-09-01T00:00:00Z	pp. 207-241	Springer	fla		This article reviews recent archaeological research on warfare in prestate societies of native North America. This survey comprises six regions: Arctic/Subarctic, Northwest Coast, California, Southwest/Great Basin, Great Plains, and Eastern Woodlands. Two lines of evidence, defensive settlement behavior and injuries in human skeletal remains, figure prominently in archaeological reconstructions of violence and warfare in these regions. Burning of sites and settlements also has been important for identifying the consequences of war and investigating more subtle aspects of strategy and directionality. Weaponry and iconography have to date provided important but more limited insights. Although considerable disparities exist between regions in the archaeological evidence for intra-and intergroup violence, all regions show a marked increase after AD. 1000. These findings suggest that larger forces may have been responsible for escalating violence throughout North America at this time.	
10.2307/41053144	10.2307/41053144	Front Matter		Journal of Archaeological Research	5	3	1997-09-01T00:00:00Z		Springer	mis			
10.2307/41053224	10.2307/41053224	New World States and Empires: Politics, Religion, and Urbanism	Michael E. Smith, Katharina J. Schreiber	Journal of Archaeological Research	14	1	2006-03-01T00:00:00Z	pp. 1-52	Springer	fla		The past decade has seen a veritable explosion in archaeological research on complex societies in Latin America. In 1993, Smith published an overview of research to that date; this article is one of two bringing that summary up to the present. Our first article, New World states and empires: Economic and social organization (Smith and Schreiber, 2005), dealt with issues regarding economic and social organization. The present article tackles political organization and dynamics, religion, urbanism, and settlement patterns. We also review recent research in the context of various theoretical perspectives, some traditional, some more contemporary, including approaches to history and process, cultural evolution, agency-based models, linguistic prehistory, migration theory, and the relationship between environmental change and cultural events. Our discussion blends empirical findings, methodological advances, and theoretical perspectives.	
10.2307/41053256	10.2307/41053256	Front Matter		Journal of Archaeological Research	17	1	2009-03-01T00:00:00Z		Springer	mis			
10.2307/41053090	10.2307/41053090	Recent Archaeological Research in the Northeastern United States and Eastern Canada	Dean R. Snow	Journal of Archaeological Research	2	3	1994-09-01T00:00:00Z	pp. 199-220	Springer	fla		The Northeast is comprised of interior and coastal areas that were historically occupied by Iroquoians and Algonquians respectively. This brief review sets aside most Euroamencan historical archaeology and developments prior to A.D. 900 to concentrate on recent research that has dominated regional attention and is most likely to be of interest to archaeologists working elsewhere. The review argues that while Iroquoian archaeologists often work with or against broad controlling models of long standing, archaeologists in the Maritimes and New England more often focus on technical problems that are relevant to shared interests in broad topical issues. The contrast relates to both differences in the their databases and differences in how archaeological research is conceived.	
10.2307/41053161	10.2307/41053161	Status and Role of Formation Theory in Contemporary Archaeological Practice	Michael J. Shott	Journal of Archaeological Research	6	4	1998-12-01T00:00:00Z	pp. 299-329	Springer	fla		Since Binford appropriated the term "middle-range theory," it has signified the process of reasoning from the extant material record to the cultural past Merton's sociological concept of middle-range theory is relevant to archaeology, but does not mean what Binford denoted by it. More accurately, Binford's domain should be called "formation theory." By whatever name used, archaeologists differ greatly in our views of its role and status. Somehow, formation theory has come to be viewed as method but not theory, and as intrinsic to materialism, but irrelevant if not antithetical to other ontologies. Yet it is as critical to the contextual understanding of the past sought by many archaeologists today—a role that, among others, belies formation theory's marginal status in academic practice.	
10.2307/41053071	10.2307/41053071	Recent Developments in the Analysis of Lithic Artifacts	Richard W. Yerkes, P. Nick Kardulias	Journal of Archaeological Research	1	2	1993-06-01T00:00:00Z	pp. 89-119	Springer	fla		A review of recent research on lithic technology and functional analysis is presented. Our perception of the state of the art is based on a review of the literature published during the past three years and on the topics that were covered at conferences and workshops on lithic analysis. While the goals have essentially remained the same since the turn of the century, concerns with chronology and the classification of lithic artifacts have given way to studies that treat stone implements as products of a dynamic system of human behavior. In order to understand stone artifacts and the people that made and used them, archaeologists must understand the processes involved in the acquisition, production, exchange, and consumption of lithic artifacts. In the past ten years, experimental studies involving the manufacturing and use of stone tools have been integrated with studies of refitted or conjoined lithic artifacts and microwear analysis. The result is a much more dynamic view of the variability in assemblages of lithic artifacts. In this review, we focus on replication and technological analysis of chipped stone artifacts and microwear analysis, and consider the implications of this research.	
10.2307/41053108	10.2307/41053108	Front Matter		Journal of Archaeological Research	4	1	1996-03-01T00:00:00Z		Springer	mis			
10.2307/41053213	10.2307/41053213	Current Research on Late Precontact Societies of the Midcontinental United States	Sissel Schroeder	Journal of Archaeological Research	12	4	2004-12-01T00:00:00Z	pp. 311-372	Springer	fla		Research during the past decade on Late Precontact societies (ca. AD. 1000-1600/1700) in the Midcontinent, particularly Mississippian, Oneota, Fort Ancient, and Late Woodland, is strongly rooted in empirical approaches. While some of this work is pursued within a broadly evolutionary interpretive framework, other scholars emphasize agency and practice theory, symbolism, the historically contingent nature of human action, and cultural heterogeneity in sociopolitical organization, political economy, and subsistence. Dynamic models of the settlement systems and demography of complex societies have developed out of the recent growth in site inventories and refinements in ceramic chronologies and have come to be closely linked with theoretical treatments of sociopolitical organization. Various physical and chemical analytical techniques are commonly applied to the analysis of archaeological materials in this region, contributing to our understanding of direct and indirect exchange relationships and other forms of interaction, especially those between hierarchical and nonhierarchically organized societies, and enhancing our understanding of the kinds of foods prepared and eaten by people in the past.	
10.2307/41053089	10.2307/41053089	Front Matter		Journal of Archaeological Research	2	3	1994-09-01T00:00:00Z		Springer	mis			
10.2307/41053120	10.2307/41053120	Japanese Archaeology in the 1990s	Gina L. Barnes, Masaaki Okita	Journal of Archaeological Research	7	4	1999-12-01T00:00:00Z	pp. 349-395	Springer	fla		As scientific archaeology takes hold in Japan, our understanding of the nature and content of Japanese prehistory is changing radically. All of the period boundaries of Japanese prehistory are being rewritten, and many new “archaeologies” are growing up around particular scientific techniques. New publications in English give greater access to archaeological thinking in Japan, while Japanese publications focus on ever-narrowing aspects of prehistoric lifeways. Policy changes are giving archaeologists more access to the imperial tombs, and rescue teams are under less obligation to “save everything” as selective preservation is instituted.	
10.2307/41053101	10.2307/41053101	Worldwide Cross-Cultural Studies and Their Relevance for Archaeology	Melvin Ember, Carol R. Ember	Journal of Archaeological Research	3	1	1995-03-01T00:00:00Z	pp. 87-111	Springer	fla		Archaeological inference based on ethnographic analogy may or may not be correct. What is worse, there is no systematic way to tell. With certain provisos, it is better to generate archaeological inference from the results of worldwide cross-cultural tests of relational hypotheses. Such tests may provide more benefits than within-region comparisons. This paper discusses a number of ways in which worldwide cross-cultural research may be used in archaeological inference, including: generalizing about societal types, inferring from presumed causes, inferring from material correlates, and inferring from noncausal associations. The paper concludes with a discussion of how comparative archaeology could help cross-cultural researchers test causal theories diachronically.	
10.2307/42635582	10.2307/42635582	Lasting Monuments and Durable Institutions: Labor, Urbanism, and Statehood in Northern Vietnam and Beyond	Nam C. Kim	Journal of Archaeological Research	21	3	2013-09-01T00:00:00Z	pp. 217-267		fla		Archaeological research on monumentality, early urbanism, and emergent statehood in Southeast Asia and Vietnam has grown dramatically in recent years, and our understanding of social evolution in Southeast Asia has moved beyond traditional models of Sinicization and Indianization. Although many researchers recognize the significance of the historic and classical states of the first and second millennia AD, the seeds of statehood and urbanism can be seen in a moated settlement pattern during the first millennium BC. The largest in this category of Iron Age settlements, the heavily fortified Co Loa site in Vietnam's Red River Valley, is emblematic of a tradition of settlements marked by earthworks and moat systems. The scale and extent of Co Loa's massive earthen rampart system, involving a complex construction enterprise, reflect planning and implementation by a highly centralized, multigenerational, and institutionalized authority. Dating to the last centuries BC, Co Loa represents one of the earlier ancient state-level societies in Vietnam and the wider Southeast Asian region. Ultimately, the durability of Co Loa's institutions of power and governance is suggested by the nature of its rampart system and construction process, and a package of variables contributed to emergent complexity. In particular, the presence of a monumental system of defensive works, combined with other archaeological markers for intraregional competition and violence, underscores the potential role of warfare and physical coercion in the course of political centralization.	
10.2307/41053138	10.2307/41053138	Introduction to Volume 5	Gary M. Feinman, T. Douglas Price	Journal of Archaeological Research	5	1	1997-03-01T00:00:00Z	pp. 1-2	Springer	mis			
10.2307/41053127	10.2307/41053127	Front Matter		Journal of Archaeological Research	8	3	2000-09-01T00:00:00Z		Springer	mis			
10.2307/41410943	10.2307/41410943	The Elusive Maya Marketplace: An Archaeological Consideration of the Evidence	Leslie C. Shaw	Journal of Archaeological Research	20	2	2012-06-01T00:00:00Z	pp. 117-155	Springer	fla		The modeling of ancient Maya economies has been a dynamic area of archaeological research in the past few decades, but in most cases there has been little attention on how goods actually changed hands. Through an overview of the literature, this paper considers marketplace exchange as one mechanism of distribution.Researchers have proposed a number of physical features and artifact characteristics that may be expected in association with marketplace activity, and new methods of data collection have been offered that can be used to build a case for marketplace exchange. What remains is the challenge of developing strategies to identify ancient Maya marketplaces convincingly through archaeological excavation.	
10.2307/41053112	10.2307/41053112	Front Matter		Journal of Archaeological Research	4	2	1996-06-01T00:00:00Z		Springer	mis			
10.2307/23018399	10.2307/23018399	Back Matter		Journal of Archaeological Research	18	3	2010-09-01T00:00:00Z			mis			
10.2307/41053271	10.2307/41053271	The Archaeology of Historic Battlefields: A History and Theoretical Development in Conflict Archaeology	Douglas D. Scott, Andrew P. McFeaters	Journal of Archaeological Research	19	1	2011-03-01T00:00:00Z	pp. 103-132	Springer	fla		In the last two and a half decades there have been many advances in the technology available to archaeologists. As new technologies have been used to challenge previously held hypotheses and expand the capabilities of current research, they also have assisted the expansion of archaeology to include conflict archaeology. Although there has been a long history of interest in the material remains of conflict, it is only recently that the necessary tools, methodology, and theoretical approaches have been combined to allow serious scientific contributions to the holistic study of past human conflict. This article provides an overview of the origins of conflict archaeology and research that has helped consolidate the subfield into its present form. We examine the current state of conflict studies and consider what lies ahead for conflict archaeology.	
10.2307/41053084	10.2307/41053084	Recent Trends in the Archaeology of the Southeastern United States	Ian W. Brown	Journal of Archaeological Research	2	1	1994-03-01T00:00:00Z	pp. 45-111	Springer	fla		The archaeological literature pertaining to the southeastern United States is examined for the 5-year period between 1988 and 1992 inclusive. Research traditions identified in an earlier article by Patty Jo Watson (Southeastern Archaeology 9: 43-54, 1990) as characteristic of the Southeast in the previous half-century are considered in light of recent contributions. Topics examined include Mesoamerican connections, trade, pottery typology, historical archaeology, subsistence studies, bioarchaeology, and lithic artifact research.	
10.2307/41053105	10.2307/41053105	Ethnoarchaeology Needs a General Theory of Behavior	James F. O'Connell	Journal of Archaeological Research	3	3	1995-09-01T00:00:00Z	pp. 205-255	Springer	fla		Ethnoarchaeology is the study of relationships between human behavior and its material consequences in the present Practitioners hope to establish consistent links between the two that can be used to interpret archaeological evidence of human behavior in the past. Much of this work is descriptive: analysts seldom attempt to explain variation in the behavior they observe, instead simply documenting its archaeological implications. This limits the utility of their results. At best, they can only identify the past distribution of ethnographicalfy known behavior. Evidence of anything else is uninterpretable; the behavioral variability it reflects inexplicable. This problem can be resolved only by linking ethnoarchaeology with a general theory of behavior. Neo-Darwinian behavioral ecology may provide the necessary framework. Recent ethnoarchaeological work on site structure and faunal remains, especially as applied in research on the Paleolithic, illustrates both the problem and the appeal of the proposed solution.	
10.2307/41053194	10.2307/41053194	Front Matter		Journal of Archaeological Research	11	2	2003-06-01T00:00:00Z		Springer	mis			
10.2307/41053262	10.2307/41053262	Front Matter		Journal of Archaeological Research	17	3	2009-09-01T00:00:00Z		Springer	mis			
10.2307/41053200	10.2307/41053200	Front Matter		Journal of Archaeological Research	11	4	2003-12-01T00:00:00Z		Springer	mis			
10.2307/41053191	10.2307/41053191	Front Matter		Journal of Archaeological Research	11	1	2003-03-01T00:00:00Z		Springer	mis			
10.2307/41053185	10.2307/41053185	Front Matter		Journal of Archaeological Research	10	3	2002-09-01T00:00:00Z		Springer	mis			
10.2307/41053215	10.2307/41053215	The Emergence of Social Complexity in the Chibchan World of Southern Central America and Northern Colombia, AD 300-600	John W. Hoopes	Journal of Archaeological Research	13	1	2005-03-01T00:00:00Z	pp. 1-47	Springer	fla		The societies of southern Central America and northern South America, a region historically occupied by Chibchan-speaking peoples, have long been acknowledged as valuable sources of information on chiefdoms and other forms of prestate social organization. Most studies, however, have focused on chiefdoms that are known ethnographically or ethnohistorically with an emphasis on the sixteenth century and the immediate precontact period. This paper reviews archaeological evidence from an earlier period in an attempt to elucidate general patterns associated with the earliest appearance of social inequality. The centuries between AD 300 and 600 are characterized by the first widespread use of prestige goods manufactured from gold and jade, special cemeteries for the interment of elites, and a rich iconography. Detailed consideration of recent research relevant to the events of this period highlights some of the problems inherent in the archaeological identification of hierarchy, chiefdoms, leadership, and other features of prestate complex societies.	
10.2307/41018856	10.2307/41018856	What Is a Hunter-Gatherer? Variation in the Archaeological Record of Eastern and Southern Africa	Sibel B. Kusimba	Journal of Archaeological Research	13	4	2005-12-01T00:00:00Z	pp. 337-366	Springer	fla		This article reviews the recent history of the archaeology of African huntergatherers, focusing on debates around the origins of modern humans and the destiny of hunter-gatherers with the advent of food production. African archaeologists are developing an increasing appreciation for the diversity of African hunter-gatherer societies. Understandings of hunter-gatherers based primarily on ethnography are being successfully challenged and extended.	
10.2307/41053131	10.2307/41053131	Recent Ceramic Analysis: 2. Composition, Production, and Theory	Prudence M. Rice	Journal of Archaeological Research	4	3	1996-09-01T00:00:00Z	pp. 165-202	Springer	fla		This is the second of two articles reviewing the burgeoning literature on recent ceramic analysis. The first (Journal of Archaeological Research, Vol. 4, No. 2, 1996) (pp. 133-163) surveyed functional and stylistic analyses and pottery origins. This article reviews compositional investigations and studies of pottery production, both of which have flourished in a period of heightened examination of specific techniques, assumptions, and concepts, such as standardization. In addition, researchers are exploring new analytical methods as well as approaches to "ceramic theory." The review closes with a series of observations and critiques of current directions.	
10.2307/41053203	10.2307/41053203	Front Matter		Journal of Archaeological Research	12	1	2004-03-01T00:00:00Z		Springer	mis			
10.2307/41053273	10.2307/41053273	Front Matter		Journal of Archaeological Research	16	3	2008-09-01T00:00:00Z		Springer	mis			
10.2307/23018388	10.2307/23018388	New Perspectives in Mississippian Archaeology	John H. Blitz	Journal of Archaeological Research	18	1	2010-03-01T00:00:00Z	pp. 1-39		fla		In recent years the pace of research on the late prehistoric Mississippian societies of eastern North America has accelerated. New data, methods, and theoretical goals are changing perspectives in Mississippian archaeology. Regional overviews and site syntheses provide unprecedented insights into the Mississippian phenomenon at local, regional, and continental scales. Traditional culture history, processualism, historical processualism, iconography, and neo-Darwinian archaeology are active theoretical orientations. Important research focuses on variability in Mississippian sociopolitical formations over time, organizational diversity among contemporaneous societies, and sources of political power. The new historicism and iconography place agency, identity, origins, factionalism, ideology, and meaning at the center of culture change, while many processualists continue to focus on developmental histories, economy, and control of material resources. Advances in physical and chemical analyses and the availability of remote sensing techniques are changing how Mississippian archaeology is conducted and expanding the kinds of data that are recovered. These diverse interests, methods, and goals have created considerable eclecticism in Mississippian archaeology.	
10.2307/41053236	10.2307/41053236	Fortifications and Enclosures in European Prehistory: A Cross-Cultural Perspective	William A. Parkinson, Paul R. Duffy	Journal of Archaeological Research	15	2	2007-06-01T00:00:00Z	pp. 97-141	Springer	fla		This article reviews recent research into the archaeological interpretation and investigation of fortifications and enclosures during the Neolithic and Bronze Age in Europe. Recent methodological, technological, and cultural developments have expanded our understanding of the temporal, spatial, and formal variability of these features on the landscape. Interpretations of this variability also have varied with different theoretical trends in the discipline. We advocate a crosscultural approach that focuses on the occurrence of enclosures and fortifications over the long term at the continental scale. Such a macroscalar approach complements interpretive frameworks at the regional and microregional scales. The geographic and temporal distribution of these features indicates that social institutions associated with principles of segmentation and substitutability became formalized and tethered to the landscape during the Neolithic.	
10.2307/41053217	10.2307/41053217	Front Matter		Journal of Archaeological Research	13	2	2005-06-01T00:00:00Z		Springer	mis			
10.2307/41053150	10.2307/41053150	Front Matter		Journal of Archaeological Research	6	1	1998-03-01T00:00:00Z		Springer	mis			
10.2307/41053174	10.2307/41053174	Some Recent Trends in the Archaeology of Predynastic Egypt	Stephen H. Savage	Journal of Archaeological Research	9	2	2001-06-01T00:00:00Z	pp. 101-155	Springer	fla		The traditional explanation of the origin of Egypt credits the legendary Menes with founding the state through the conquest of the Delta region, but this is more of a political legend than explanation. Anthropological archaeologists and Egyptologists are bringing new methods and questions to their search for an adequate explanation for the development of one of the world's first territorial states. Early investigations of cemetery sites in Upper Egypt and settlements in the Delta have been supplemented by the excavation of more Upper Egyptian settlement sites, while cemeteries and other important settlements are now being uncovered in the Delta. Three trends are particularly important for the development of social complexity in ancient Egypt: (1) a growing appreciation of regional differences in Predynastic culture; (2) chronological refinements; and (3) an emphasis on group social and political developments, and trade. A consensus appears to be developing that stresses the gradual development of complex society in Egypt, in which a number of small polities coalesced into three or four larger entities during the late Predynastic, followed by the assimilation of the northwestern Delta by the Thinite rulers. The effort to control trade with the southern Levant and Mesopotamia seems to have encouraged expansion of Upper Egyptian cultural and political influence northward.	
10.2307/23018396	10.2307/23018396	Recent Developments in the Archaeology of Southwestern China	Alice Yao	Journal of Archaeological Research	18	3	2010-09-01T00:00:00Z	pp. 203-239		fla		Archaeology of ancient China's periphery has traditionally been examined through the historiographic lens of Chinese textual sources. Social developments in the periphery are often explained in relation to accounts of migration from "core" regions of China. Setting conventional paradigms and textual sources aside, this article examines prehistoric developments in southwestern China in conjunction with broader trends in Southeast Asia. This comparative approach reveals that the development of bronze metallurgy in southwestern China parallels trends observed among Neolithic communities in Southeast Asia. Using recent data and a reassessment of radiocarbon dates for the Bronze Age, I propose that sociopolitical complexity emerged in southwestern China as part of a multiregional phenomenon that had its beginning with the formalization of trade networks during the Neolithic period.	
10.2307/41053123	10.2307/41053123	The Peopling of the New World: Present Evidence, New Theories, and Future Directions	Stuart J. Fiedel	Journal of Archaeological Research	8	1	2000-03-01T00:00:00Z	pp. 39-103	Springer	fla		The prevailing archaeological consensus on Paleoindian origins and colonization of the Americas has been shaken by recent wide acknowledgment of pre-Clovis occupation at Monte Verde, Chile, and by claims that ostensibly non-Mongoloid skeletal remains might represent a precursor population. Recent mitochondrial DNA studies have been interpreted by some as indicating an earlier and more complex peopling of the continent. This paper reviews the current archaeological and biological evidence, in America and northern Asia, for the origins of Native Americans, assesses models of the colonization process in the light of new data and a revised chronology, and suggests avenue s for future research.	
10.2307/41053097	10.2307/41053097	Front Matter		Journal of Archaeological Research	3	1	1995-03-01T00:00:00Z		Springer	mis			
10.2307/41053188	10.2307/41053188	Front Matter		Journal of Archaeological Research	10	4	2002-12-01T00:00:00Z		Springer	mis			
10.2307/23018394	10.2307/23018394	Back Matter		Journal of Archaeological Research	18	2	2010-06-01T00:00:00Z			mis			
10.2307/41053219	10.2307/41053219	Prehistory of Native Americans on the Central American Land Bridge: Colonization, Dispersal, and Divergence	Richard Cooke	Journal of Archaeological Research	13	2	2005-06-01T00:00:00Z	pp. 129-187	Springer	fla		The Central American land bridge has served as a passageway for animals and humans moving between North and South America. Nevertheless, after the first waves of human immigration at the end of the Pleistocene, contact between the native peoples who remained on this isthmus and other peoples living in continental areas where civilization ultimately developed, is characterized, according to the field record, by the transfer of crops, technologies, and goods, until ca. 1400 BP when speakers of Mesoamerican languages occupied the northwestern edge (Gran Nicoya). The ancestors of modern-day speakers of Chibchan and Chocoan languages underwent social and cultural diversification mostly within the confines of the land bridge. Some Precolumbian residents altered vegetation immediately after first arrival at least 11,000 years ago, and began to add domesticated crops to their subsistence inventory between 9000 and 7000 BP. Maize and manioc (or cassava), domesticated outside the land bridge, were introduced in Preceramic times, early in the period between 7000 and 4500 BP, and gradually dominated regional agriculture as they became more productive, and as human populations increased and spread into virgin areas. Diversity in material culture is visible ca. 6000 BP, and becomes more apparent after the introduction of pottery ca. 4500 BP. By 2000 BP culture areas with distinctive artifact inventories are discernible. Between 2500 and 1300 BP hierarchies among regions, sites, social groups, and individuals point to the establishment of chiefdoms whose elite members came to demand large numbers of costume and sumptuary goods. A few special centers with stone sculptures and low-scale architecture served a social universe larger than the chiefdom, such as clusters of recently fissioned social groups with memories of a common heritage. Social interactions on the land bridge, endowed with productive bottomlands, highland valleys, and coastal habitats, appear always to have been strongest among neighboring groups.	
10.2307/41053151	10.2307/41053151	Heterogeneity, Power, and Political Economy: Some Current Research Issues in the Archaeology of Old World Complex Societies	Gil J. Stein	Journal of Archaeological Research	6	1	1998-03-01T00:00:00Z	pp. 1-44	Springer	fla		Recent research on Old World chiefdoms and states has largely retreated from the general comparative explanatory paradigm of the 1970s and has focused instead on more historically oriented analyses of culture-specific developmental trajectories. Both theoretical and empirical work tend to emphasize a heterogeneous, conflict-based model of complex society and political economy. This analytical framework has been quite successful in documenting variation and historically determined patterning in the organization of urbanism, craft production, specialization, and exchange. I present an overview of this research and argue that we now need to reintegrate culturally specific analyses within a modified comparative/generalizing perspective on complexity.	
10.2307/41053259	10.2307/41053259	Front Matter		Journal of Archaeological Research	17	2	2009-06-01T00:00:00Z		Springer	mis			
10.2307/41053109	10.2307/41053109	Introduction to Volume 4	Gary M. Feinman, T. Douglas Price	Journal of Archaeological Research	4	1	1996-03-01T00:00:00Z	pp. 1-2	Springer	mis			
10.2307/41053148	10.2307/41053148	Ethnicity in Complex Societies: Archaeological Perspectives	Geoff Emberling	Journal of Archaeological Research	5	4	1997-12-01T00:00:00Z	pp. 295-344	Springer	fla		It is often difficult to identify ethnic groups in the archaeological record, yet archaeology has much to contribute to understanding the long-term social and political dynamics of ethnicity. This review considers recent anthropological perspectives on ethnic groups and their boundaries, emphasizing the role of state formation in their creation and maintenance. It then reviews recent archaeological studies of ethnicity in complex societies and discusses current questions facing archaeological research on these topics.	
10.2307/41053277	10.2307/41053277	Advances in the Household Archaeology of Highland Mesoamerica	David M. Carballo	Journal of Archaeological Research	19	2	2011-06-01T00:00:00Z	pp. 133-189	Springer	fla		Recent investigations and reconsideration of households in the Mesoamerican highlands illustrate the central role of domestic spheres of interaction to the broader cultural dynamics of the region over four millennia. Methodological advances in the analysis of past houses permit more sophisticated social reconstructions of the spaces and activities that constituted domestic life for the diverse peoples of the region. Current studies highlight the economic interdependence and diversification of households, their strategic flexibility in affiliation, the integrative ritual practices undertaken within domestic spaces, the material correlates of prestige competition between households, and the manner in which households articulated with a larger social universe.	
10.2307/41053221	10.2307/41053221	New World States and Empires: Economic and Social Organization	Michael E. Smith, Katharina J. Schreiber	Journal of Archaeological Research	13	3	2005-09-01T00:00:00Z	pp. 189-229	Springer	fla		We take a critical perspective in discussing recent publications on the archaeological study of the ancient state-level societies of Latin America. For some topics, such as intensive agriculture and exchange, data are far ahead of theory, whereas for others (e.g., gender and ethnicity), theory has outstripped data. Craft production, a topic that has achieved a good balance of data and theory, is one of the success stories of recent Latin American archaeology. After a discussion of sources of data, we review these and other topics (e.g., consumption patterns, household studies, social organization) in terms of both data and theory. In a second review article, we cover the topics of politics, religion, urbanism, and the processes of change.	
10.2307/41410939	10.2307/41410939	Where East Meets West: The Formative in Mexico's Central Highlands	Patricia Plunket, Gabriela Uruñuela	Journal of Archaeological Research	20	1	2012-03-01T00:00:00Z	pp. 1-51	Springer	fla		Mexico's Central Highlands form one of Mesoamerica's fundamental cultural seams, a point of overlap between two traditions, one to the east and the other to the west. Although this area is usually included in the west, it can be more productively viewed as an interface, the physical space where people, goods, and ideas passed from one side to the other, and thus it holds many keys for our understanding of emerging social complexity in Mesoamerica. In reviewing the last two decades of Formative period (1500 BC-AD 100) research in this crucial territory, we focus on themes that reveal the variation and dynamism of interregional interaction, including the formation of regional traditions, exchange systems, and foreign "influence," and others that help contextualize the events and processes of that time, like household studies and environmental degradation. We stress that this part of Mexico is undergoing relentless development so time is of the essence if we are to broaden our perspectives on social evolution in the Central Highlands. This issue cannot be resolved by rescue and salvage work because it requires long-term, interdisciplinary projects to unravel multifaceted problems.	
10.2307/41053211	10.2307/41053211	Cross-Cultural Approaches in Archaeology: Comparative Ethnology, Comparative Archaeology, and Archaeoethnology	Peter N. Peregrine	Journal of Archaeological Research	12	3	2004-09-01T00:00:00Z	pp. 281-309	Springer	fla		Cross-cultural approaches have been used widely in archaeological research. Comparative ethnology has provided a number of archaeological indicators of behavior, but large segments of the archaeological record have not yet been subjected to extensive comparative analysis. Comparative archaeology has aided in exploring variation among societal types (such as chiefdoms) and categories within the archaeological record (such as settlements). Diachronie comparisons have been used frequently by archaeologists, but these have often been based on unique samples and only rarely have employed statistics to aid in the discovery or testing of hypotheses. Archaeoethnology, comparative analyses of archaeological cases employing valid samples and statistical evaluation of theories and hypotheses, is introduced.	
10.2307/41053216	10.2307/41053216	Creating an Imperial Frontier: Archaeology of the Formation of Rome's Danube Borderland	Peter S. Wells	Journal of Archaeological Research	13	1	2005-03-01T00:00:00Z	pp. 49-88	Springer	fla		For investigating the formation of frontier zones, study of changes in small communities that constituted the majority of earlier populations provides a different perspective from a focus on major centers. A network model applied to settlement and cemetery sites on Rome's Danube River frontier in Bavaria, Germany, shows that many communities, through participation in regional and long-distance circulation systems, played significant roles in creating the dynamic and culturally heterogeneous character ofthat landscape. This approach offers a model applicable to analysis of the formation and functioning of frontier regions in all cultural contexts.	
10.2307/41053083	10.2307/41053083	Southwest and Northwest: Recent Research at the Juncture of the United States and Mexico	Paul R. Fish, Suzanne K. Fish	Journal of Archaeological Research	2	1	1994-03-01T00:00:00Z	pp. 3-44	Springer	fla		Research within the last 3 to 5 years is summarized for the southern part of the southwestern United States and adjacent northwest Mexico, In an effort to identify important new sources of information, the literature of contract archaeology is cited, along with more widely available journal and book publications. Topics considered include Late Archaic farmers, early ceramic villages, subsistence and agricultural technology, settlement stability and residential mobility, community organization, and developments of the late prehistoric period sociopolitical complexity.	
10.2307/41053152	10.2307/41053152	Refiguring the Archaeology of Greater Cahokia	Timothy R. Pauketat	Journal of Archaeological Research	6	1	1998-03-01T00:00:00Z	pp. 45-89	Springer	fla		Revised theoretical constructs and an enlarged database allow substantive revisions to a processual accounting of greater Cahokia. Measures of political consolidation, demographic nucleation, central transformations, and centrifugal dispersions reveal the form, scale, and developmental trajectory of greater Cahokia to have been highly centralized, regional, and punctuated by abrupt and pervasive social changes, respectively. Social restructuring, political rituals, and large-scale labor mobilizations are recognizable among the archaeological remains, as are the pre-Mississippian traditions that tempered regional government. Greater Cahokia was a product of heal agricultural populations dominated and accommodated over three centuries. The processes of domination and accommodation, occurring at a time when regional administration was not yet commonplace, left unmistakable regional and panregional signatures.	
